key,rules
18577351147786256,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147786384,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147786512,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147786640,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147786768,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147786896,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787024,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787152,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787280,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787408,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787536,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787664,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787792,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147787920,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147788048,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18577351147788176,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171041808,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171041936,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042064,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042192,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042320,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042448,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042576,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042704,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042832,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171042960,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171043088,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171043216,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171043344,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171043472,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171043600,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18579550171043728,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194297360,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194297488,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194297616,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194297744,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194297872,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298000,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298128,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298256,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298384,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298512,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298640,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298768,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194298896,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194299024,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194299152,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18581749194299280,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
