key,rules
18577351147786256,FLOAT large-D forces S1TemplateNum=64
18577351147786384,FLOAT large-D forces S1TemplateNum=64
18577351147786512,FLOAT large-D forces S1TemplateNum=64
18577351147786640,FLOAT large-D forces S1TemplateNum=64
18577351147786768,FLOAT large-D forces S1TemplateNum=64
18577351147786896,FLOAT large-D forces S1TemplateNum=64
18577351147787024,FLOAT large-D forces S1TemplateNum=64
18577351147787152,FLOAT large-D forces S1TemplateNum=64
18577351147787280,FLOAT large-D forces S1TemplateNum=64
18577351147787408,FLOAT large-D forces S1TemplateNum=64
18577351147787536,FLOAT large-D forces S1TemplateNum=64
18577351147787664,FLOAT large-D forces S1TemplateNum=64
18577351147787792,FLOAT large-D forces S1TemplateNum=64
18577351147787920,FLOAT large-D forces S1TemplateNum=64
18577351147788048,FLOAT large-D forces S1TemplateNum=64
18577351147788176,FLOAT large-D forces S1TemplateNum=64
18579550171041808,FLOAT large-D forces S1TemplateNum=64
18579550171041936,FLOAT large-D forces S1TemplateNum=64
18579550171042064,FLOAT large-D forces S1TemplateNum=64
18579550171042192,FLOAT large-D forces S1TemplateNum=64
18579550171042320,FLOAT large-D forces S1TemplateNum=64
18579550171042448,FLOAT large-D forces S1TemplateNum=64
18579550171042576,FLOAT large-D forces S1TemplateNum=64
18579550171042704,FLOAT large-D forces S1TemplateNum=64
18579550171042832,FLOAT large-D forces S1TemplateNum=64
18579550171042960,FLOAT large-D forces S1TemplateNum=64
18579550171043088,FLOAT large-D forces S1TemplateNum=64
18579550171043216,FLOAT large-D forces S1TemplateNum=64
18579550171043344,FLOAT large-D forces S1TemplateNum=64
18579550171043472,FLOAT large-D forces S1TemplateNum=64
18579550171043600,FLOAT large-D forces S1TemplateNum=64
18579550171043728,FLOAT large-D forces S1TemplateNum=64
18581749194297360,FLOAT large-D forces S1TemplateNum=64
18581749194297488,FLOAT large-D forces S1TemplateNum=64
18581749194297616,FLOAT large-D forces S1TemplateNum=64
18581749194297744,FLOAT large-D forces S1TemplateNum=64
18581749194297872,FLOAT large-D forces S1TemplateNum=64
18581749194298000,FLOAT large-D forces S1TemplateNum=64
18581749194298128,FLOAT large-D forces S1TemplateNum=64
18581749194298256,FLOAT large-D forces S1TemplateNum=64
18581749194298384,FLOAT large-D forces S1TemplateNum=64
18581749194298512,FLOAT large-D forces S1TemplateNum=64
