key,distance,differing_dims,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase
23685680559821856,1,IsTnd,0,0,2,0,0,0,1,128,128,128,3,1,0,0,0,2,1,0,1
23685680559822112,1,IsTnd,0,0,2,0,1,0,1,128,128,128,3,1,0,0,0,2,1,0,1
23685680559822368,1,IsTnd,0,0,2,0,0,1,1,128,128,128,3,1,0,0,0,2,1,0,1
23685680559822624,1,IsTnd,0,0,2,0,1,1,1,128,128,128,3,1,0,0,0,2,1,0,1
23826418048177184,1,IsTnd,0,0,2,0,0,0,1,128,128,128,3,1,0,1,0,2,1,0,1
23826418048177440,1,IsTnd,0,0,2,0,1,0,1,128,128,128,3,1,0,1,0,2,1,0,1
23826418048177696,1,IsTnd,0,0,2,0,0,1,1,128,128,128,3,1,0,1,0,2,1,0,1
23826418048177952,1,IsTnd,0,0,2,0,1,1,1,128,128,128,3,1,0,1,0,2,1,0,1
24248630513243184,1,IsTnd,0,0,3,0,0,0,1,128,128,128,3,1,0,0,0,3,1,0,1
24248630513243440,1,IsTnd,0,0,3,0,1,0,1,128,128,128,3,1,0,0,0,3,1,0,1
24248630513243696,1,IsTnd,0,0,3,0,0,1,1,128,128,128,3,1,0,0,0,3,1,0,1
24248630513243952,1,IsTnd,0,0,3,0,1,1,1,128,128,128,3,1,0,0,0,3,1,0,1
24389368001598512,1,IsTnd,0,0,3,0,0,0,1,128,128,128,3,1,0,1,0,3,1,0,1
24389368001598768,1,IsTnd,0,0,3,0,1,0,1,128,128,128,3,1,0,1,0,3,1,0,1
24389368001599024,1,IsTnd,0,0,3,0,0,1,1,128,128,128,3,1,0,1,0,3,1,0,1
24389368001599280,1,IsTnd,0,0,3,0,1,1,1,128,128,128,3,1,0,1,0,3,1,0,1
