tiling_key,verdict,evidence,source_citation,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase
18014398509481985,witnessed,vg_R.txt,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18577349000302608,witnessed,vg_R.txt,,0,0,1,0,0,0,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000302736,witnessed,vg_R.txt,,0,0,1,1,0,0,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000302864,witnessed,vg_R.txt,,0,0,1,0,1,0,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000302992,witnessed,vg_R.txt,,0,0,1,1,1,0,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000303120,witnessed,vg_R.txt,,0,0,1,0,0,1,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000303248,witnessed,vg_R.txt,,0,0,1,1,0,1,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000303376,witnessed,vg_R.txt,,0,0,1,0,1,1,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000303504,witnessed,vg_R.txt,,0,0,1,1,1,1,0,128,128,64,0,0,0,0,0,1,0,0,1
18577349000303632,witnessed,vg_R.txt,,0,0,1,0,0,0,1,128,128,64,0,0,0,0,0,1,0,0,1
18577349000303760,witnessed,vg_R.txt,,0,0,1,1,0,0,1,128,128,64,0,0,0,0,0,1,0,0,1
18577349000303888,witnessed,vg_R.txt,,0,0,1,0,1,0,1,128,128,64,0,0,0,0,0,1,0,0,1
18577349000304016,witnessed,vg_R.txt,,0,0,1,1,1,0,1,128,128,64,0,0,0,0,0,1,0,0,1
18577349000304144,witnessed,vg_R.txt,,0,0,1,0,0,1,1,128,128,64,0,0,0,0,0,1,0,0,1
18577349000304272,witnessed,vg_R.txt,,0,0,1,1,0,1,1,128,128,64,0,0,0,0,0,1,0,0,1
