Testcase_Name,enable,is_deter,Level,Network_Type,B,N1,N2,S1,S2,D,D_V,Dtype,out_dtype,sparse_mode,sparse,prefix,pre_tockens,next_tockens,Layout,PSE_type,PSE_shape,Atten_mask_Dtype,Atten_mask_Shape,Drop_Out_Possibility,Padding_Mask,seed,offset,inner_drop,rope,T(B*S),seqlens_list_q,seqlens_list_kv,same_as_input,EOD,tiling_key,tiling_key_hex,declared,est_attn_elems,adapt_note,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase
tk_18014398509481985,enable,0,L2,reachable_witness,1,1,1,0,0,64,64,bf16,bf16,0,0,,65536,65536,BSND,1,NONE,NONE,NONE,1.0,NONE,2,0,1,0,0,,,0,,18014398509481985,0x40000000000001,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tk_18577349000302608,enable,0,L2,reachable_witness,4,4,2,1024,4096,64,64,fp32,fp32,0,0,,65536,65536,BSH,1,NONE,NONE,NONE,1.0,NONE,2,0,1,0,4096,,,0,,18577349000302608,0x42000020081010,1,67108864,,0,0,1,0,0,0,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000302736,enable,0,L2,reachable_witness,3,2,2,,,64,64,fp32,fp32,1,0,,65536,128,TND,1,NONE,NONE,NONE,1.0,NONE,2,0,1,0,,"[1024,768,2048]","[1024,768,2048]",0,,18577349000302736,0x42000020081090,1,25165824,,0,0,1,1,0,0,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000302864,enable,0,L2,reachable_witness,1,1,1,256,256,64,64,fp32,fp32,2,0,,65536,65536,SBH,1,NONE,BOOL,SS,0.9,NONE,2,0,1,0,256,,,0,,18577349000302864,0x42000020081110,1,65536,mask:NONE->SS(sm2),0,0,1,0,1,0,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000302992,enable,0,L2,reachable_witness,3,2,2,,,64,64,fp32,fp32,4,0,,65536,65536,TND,1,NONE,NONE,NONE,0.5,NONE,2,0,1,0,,"[1024,768,2048]","[1024,768,2048]",0,,18577349000302992,0x42000020081190,1,25165824,,0,0,1,1,1,0,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000303120,enable,0,L2,reachable_witness,4,4,2,1024,256,64,64,fp32,fp32,0,0,,65536,65536,BSH,1,BNSS,NONE,NONE,1.0,NONE,2,0,1,0,4096,,,0,,18577349000303120,0x42000020081210,1,4194304,pse:bnhs->BNSS(S1<=1024),0,0,1,0,0,1,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000303248,enable,0,L2,reachable_witness,3,2,2,,,64,64,fp32,fp32,4,0,,65536,65536,TND,2,BN,NONE,NONE,1.0,NONE,2,0,1,0,,"[128,86,44]","[64,43,22]",0,,18577349000303248,0x42000020081290,1,49152,,0,0,1,1,0,1,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000303376,enable,0,L2,reachable_witness,2,2,2,,,64,64,fp32,fp32,4,0,,65536,65536,TND,2,BN,NONE,NONE,0.9,NONE,2,0,1,0,,"[128,128]","[128,128]",0,,18577349000303376,0x42000020081310,1,65536,,0,0,1,0,1,1,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000303504,enable,0,L2,reachable_witness,2,2,2,,,64,64,fp32,fp32,4,0,,65536,65536,TND,2,BN,NONE,NONE,0.9,NONE,2,0,1,0,,"[128,0]","[128,0]",0,,18577349000303504,0x42000020081390,1,65536,,0,0,1,1,1,1,0,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000303632,enable,0,L2,reachable_witness,4,4,2,512,512,64,64,fp32,fp32,0,0,,65536,65536,BSH,1,NONE,BOOL,SS,1.0,NONE,2,0,1,0,2048,,,0,,18577349000303632,0x42000020081410,1,4194304,,0,0,1,0,0,0,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000303760,enable,0,L2,reachable_witness,4,2,2,,,64,64,fp32,fp32,2,0,,128,0,TND,1,NONE,BOOL,SS,1.0,NONE,2,0,1,0,,"[64,43,22,64]","[64,43,22,64]",0,,18577349000303760,0x42000020081490,1,32768,mask:2048->SS,0,0,1,1,0,0,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000303888,enable,0,L2,reachable_witness,4,4,2,512,512,64,64,fp32,fp32,0,0,,65536,65536,BSH,1,NONE,BOOL,SS,0.9,NONE,2,0,1,0,2048,,,0,,18577349000303888,0x42000020081510,1,4194304,,0,0,1,0,1,0,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000304016,enable,0,L2,reachable_witness,4,4,2,,,64,64,fp32,fp32,0,0,,65536,65536,TND,1,NONE,BOOL,SS,0.9,NONE,2,0,1,0,,"[512,0,0,0]","[512,0,0,0]",0,,18577349000304016,0x42000020081590,1,4194304,,0,0,1,1,1,0,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000304144,enable,0,L2,reachable_witness,1,4,2,512,512,64,64,fp32,fp32,0,0,,65536,65536,BSH,1,1NSS,BOOL,SS,1.0,NONE,2,0,1,0,512,,,0,,18577349000304144,0x42000020081610,1,1048576,,0,0,1,0,0,1,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000304272,enable,0,L2,reachable_witness,3,4,4,,,32,32,fp32,fp32,6,0,,65536,0,TND,3,BN,BOOL,SS,1.0,NONE,2,0,1,0,,"[64,128,0]","[512,64,1024]",0,,18577349000304272,0x42000020081690,1,1572864,,0,0,1,1,0,1,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000304400,enable,0,L2,reachable_witness,1,1,1,256,256,64,64,fp32,fp32,0,0,,65536,65536,SBH,1,1NSS,BOOL,SS,0.5,NONE,2,0,1,0,256,,,0,,18577349000304400,0x42000020081710,1,65536,,0,0,1,0,1,1,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349000304528,enable,0,L2,reachable_witness,2,2,2,,,64,64,fp32,fp32,4,0,,65536,65536,TND,2,BN,BOOL,SS,0.9,NONE,2,0,1,0,,"[128,0]","[128,0]",0,,18577349000304528,0x42000020081790,1,65536,mask:2048->SS,0,0,1,1,1,1,1,128,128,64,0,0,0,0,0,1,0,0,1
tk_18577349537173520,enable,0,L2,reachable_witness,2,8,8,2048,2048,72,72,fp32,fp32,0,0,,65536,65536,BSND,1,NONE,NONE,NONE,1.0,NONE,2,0,1,0,4096,,,0,,18577349537173520,0x42000040081010,1,67108864,,0,0,1,0,0,0,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537173648,enable,0,L2,reachable_witness,10,2,2,,,128,128,fp32,fp32,4,0,,65536,65536,TND,1,NONE,NONE,NONE,1.0,NONE,2,0,1,0,,"[1024,768,2048,512,64,1024,2048,128,4096,2048]","[128,128,128,128,128,128,128,128,128,128]",0,,18577349537173648,0x42000040081090,1,10485760,,0,0,1,1,0,0,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537173776,enable,0,L2,reachable_witness,1,1,1,256,256,128,128,fp32,fp32,0,0,,65536,65536,SBH,1,NONE,NONE,NONE,0.5,NONE,2,0,1,0,256,,,0,,18577349537173776,0x42000040081110,1,65536,,0,0,1,0,1,0,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537173904,enable,0,L2,reachable_witness,3,2,2,,,128,128,fp32,fp32,4,0,,65536,65536,TND,1,NONE,NONE,NONE,0.5,NONE,2,0,1,0,,"[1024,768,2048]","[1024,768,2048]",0,,18577349537173904,0x42000040081190,1,25165824,,0,0,1,1,1,0,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537174032,enable,0,L2,reachable_witness,48,1,1,256,256,128,128,fp32,fp32,0,0,,65536,65536,SBH,0,BNSS,NONE,NONE,1.0,NONE,2,0,1,0,12288,,,0,,18577349537174032,0x42000040081210,1,3145728,,0,0,1,0,0,1,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537174160,enable,0,L2,reachable_witness,3,2,2,,,128,128,fp32,fp32,4,0,,65536,65536,TND,2,BN,NONE,NONE,1.0,NONE,2,0,1,0,,"[1024,768,2048]","[1024,768,2048]",0,,18577349537174160,0x42000040081290,1,25165824,,0,0,1,1,0,1,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537174288,enable,0,L2,reachable_witness,1,1,1,256,256,128,128,fp32,fp32,1,0,,1024,128,SBH,1,1NSS,NONE,NONE,0.9,NONE,2,0,1,0,256,,,0,,18577349537174288,0x42000040081310,1,65536,,0,0,1,0,1,1,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537174416,enable,0,L2,reachable_witness,2,2,2,,,128,128,fp32,fp32,4,0,,65536,65536,TND,2,BN,NONE,NONE,0.9,NONE,2,0,1,0,,"[2048,1920]","[512,384]",0,,18577349537174416,0x42000040081390,1,4194304,,0,0,1,1,1,1,0,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537174544,enable,0,L2,reachable_witness,1,4,2,128,128,128,128,fp32,fp32,0,0,,65536,65536,SBH,1,NONE,BOOL,SS,1.0,NONE,2,0,1,0,128,,,0,,18577349537174544,0x42000040081410,1,65536,,0,0,1,0,0,0,1,128,128,128,0,0,0,0,0,1,0,0,1
tk_18577349537174672,enable,0,L2,reachable_witness,32,2,2,,,128,128,fp32,fp32,2,0,,128,0,TND,1,NONE,BOOL,SS,1.0,NONE,2,0,1,0,,"[2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920]","[2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920,2048,1920]",0,,18577349537174672,0x42000040081490,1,268435456,mask:2048->SS,0,0,1,1,0,0,1,128,128,128,0,0,0,0,0,1,0,0,1
