tiling_key,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18999562539110416,0,0,1,0,0,0,0,128,128,192,0,0,0,1,1,1,0,0,1
18999562539110544,0,0,1,1,0,0,0,128,128,192,0,0,0,1,1,1,0,0,1
18999562539110672,0,0,1,0,1,0,0,128,128,192,0,0,0,1,1,1,0,0,1
18999562539110800,0,0,1,1,1,0,0,128,128,192,0,0,0,1,1,1,0,0,1
18999562539110928,0,0,1,0,0,1,0,128,128,192,0,0,0,1,1,1,0,0,1
18999562539111056,0,0,1,1,0,1,0,128,128,192,0,0,0,1,1,1,0,0,1
18999562539111184,0,0,1,0,1,1,0,128,128,192,0,0,0,1,1,1,0,0,1
18999562539111440,0,0,1,0,0,0,1,128,128,192,0,0,0,1,1,1,0,0,1
18999562539111568,0,0,1,1,0,0,1,128,128,192,0,0,0,1,1,1,0,0,1
18999562539111696,0,0,1,0,1,0,1,128,128,192,0,0,0,1,1,1,0,0,1
18999562539111952,0,0,1,0,0,1,1,128,128,192,0,0,0,1,1,1,0,0,1
18999562539112208,0,0,1,0,1,1,1,128,128,192,0,0,0,1,1,1,0,0,1
19001761562365968,0,0,1,0,0,0,0,128,128,192,1,0,0,1,1,1,0,0,1
19001761562366096,0,0,1,1,0,0,0,128,128,192,1,0,0,1,1,1,0,0,1
19001761562366224,0,0,1,0,1,0,0,128,128,192,1,0,0,1,1,1,0,0,1
19001761562366480,0,0,1,0,0,1,0,128,128,192,1,0,0,1,1,1,0,0,1
19001761562366736,0,0,1,0,1,1,0,128,128,192,1,0,0,1,1,1,0,0,1
19001761562366992,0,0,1,0,0,0,1,128,128,192,1,0,0,1,1,1,0,0,1
19001761562367120,0,0,1,1,0,0,1,128,128,192,1,0,0,1,1,1,0,0,1
19001761562367248,0,0,1,0,1,0,1,128,128,192,1,0,0,1,1,1,0,0,1
19001761562367504,0,0,1,0,0,1,1,128,128,192,1,0,0,1,1,1,0,0,1
19003960585621520,0,0,1,0,0,0,0,128,128,192,2,0,0,1,1,1,0,0,1
19003960585621648,0,0,1,1,0,0,0,128,128,192,2,0,0,1,1,1,0,0,1
19003960585621776,0,0,1,0,1,0,0,128,128,192,2,0,0,1,1,1,0,0,1
19003960585622032,0,0,1,0,0,1,0,128,128,192,2,0,0,1,1,1,0,0,1
19003960585622288,0,0,1,0,1,1,0,128,128,192,2,0,0,1,1,1,0,0,1
19003960585622544,0,0,1,0,0,0,1,128,128,192,2,0,0,1,1,1,0,0,1
19003960585622800,0,0,1,0,1,0,1,128,128,192,2,0,0,1,1,1,0,0,1
19003960585622928,0,0,1,1,1,0,1,128,128,192,2,0,0,1,1,1,0,0,1
19003960585623056,0,0,1,0,0,1,1,128,128,192,2,0,0,1,1,1,0,0,1
19003960585623312,0,0,1,0,1,1,1,128,128,192,2,0,0,1,1,1,0,0,1
19006159608878096,0,0,1,0,0,0,1,128,128,192,3,0,0,1,1,1,0,0,1
19006159608878224,0,0,1,1,0,0,1,128,128,192,3,0,0,1,1,1,0,0,1
19006159608878352,0,0,1,0,1,0,1,128,128,192,3,0,0,1,1,1,0,0,1
19006159608878608,0,0,1,0,0,1,1,128,128,192,3,0,0,1,1,1,0,0,1
19008358632133648,0,0,1,0,0,0,1,128,128,192,4,0,0,1,1,1,0,0,1
19008358632133776,0,0,1,1,0,0,1,128,128,192,4,0,0,1,1,1,0,0,1
19008358632133904,0,0,1,0,1,0,1,128,128,192,4,0,0,1,1,1,0,0,1
19008358632134160,0,0,1,0,0,1,1,128,128,192,4,0,0,1,1,1,0,0,1
19039144957710352,0,0,1,0,0,0,0,128,128,192,2,1,0,1,1,1,0,0,1
19039144957710480,0,0,1,1,0,0,0,128,128,192,2,1,0,1,1,1,0,0,1
19039144957710608,0,0,1,0,1,0,0,128,128,192,2,1,0,1,1,1,0,0,1
19039144957710736,0,0,1,1,1,0,0,128,128,192,2,1,0,1,1,1,0,0,1
19039144957710864,0,0,1,0,0,1,0,128,128,192,2,1,0,1,1,1,0,0,1
19039144957711120,0,0,1,0,1,1,0,128,128,192,2,1,0,1,1,1,0,0,1
19039144957711376,0,0,1,0,0,0,1,128,128,192,2,1,0,1,1,1,0,0,1
19039144957711888,0,0,1,0,0,1,1,128,128,192,2,1,0,1,1,1,0,0,1
19041343980966928,0,0,1,0,0,0,1,128,128,192,3,1,0,1,1,1,0,0,1
19041343980967056,0,0,1,1,0,0,1,128,128,192,3,1,0,1,1,1,0,0,1
19041343980967184,0,0,1,0,1,0,1,128,128,192,3,1,0,1,1,1,0,0,1
19041343980967440,0,0,1,0,0,1,1,128,128,192,3,1,0,1,1,1,0,0,1
19041343980967696,0,0,1,0,1,1,1,128,128,192,3,1,0,1,1,1,0,0,1
19043543004222480,0,0,1,0,0,0,1,128,128,192,4,1,0,1,1,1,0,0,1
19043543004222608,0,0,1,1,0,0,1,128,128,192,4,1,0,1,1,1,0,0,1
19043543004222736,0,0,1,0,1,0,1,128,128,192,4,1,0,1,1,1,0,0,1
19043543004222864,0,0,1,1,1,0,1,128,128,192,4,1,0,1,1,1,0,0,1
19043543004222992,0,0,1,0,0,1,1,128,128,192,4,1,0,1,1,1,0,0,1
